Time,Frequency,V1,V12,V2,V23,V3,V31,I1,I2,I3,L1,L2,L3,Ln,R1,R2,R3,KA,KA1,KA2,KA3,KT,KT1,KT2,KT3,KV,KV1,KV2,KV3,A12,A23,A31,Q1,Q2,Q3,THDC1,THDC2,THDC3,THDP1,THDP2,THDP3,THDV1,THDV2,THDV3
1-01-16pm,50.067,245.4046,425.5715,245.9881,425.3841,244.7103,424.0121,0.07052599999999999,0.061664,0.059738,0.07112399999999999,0.062240000000000004,0.009751,0.0,-0.009200999999999999,-0.008442,-0.008768,0.047538,0.017454,0.01531,0.014775,0.047126,0.017317,0.015181,0.014626,-0.0064800000000000005,-0.002258,-0.0020759999999999997,-0.0021449999999999998,120.2142,119.9945,119.7967,-0.991,-0.99,-0.989,2.48,2.04,3.39,4.25,3.34,0.05,0.011892,28.0,2.04
1-01-23pm,50.067,245.3759,425.13,245.7016,425.1666,244.6529,424.025,0.07056799999999999,0.061618,0.059656,0.071161,0.062196999999999995,0.009955,0.0,-0.009163,-0.008466,-0.008745,0.047493,0.017461,0.015281,0.014750999999999998,0.047081,0.017325,0.015151999999999999,0.014603,-0.006468,-0.002248,-0.0020800000000000003,-0.002139,120.1373,120.0275,119.8407,-0.991,-0.99,-0.989,2.49,2.04,3.35,4.23,3.36,0.05,0.011892,28.0,2.0
1-01-30pm,50.06,245.3534,425.8629,245.9089,424.7163,244.0631,423.042,0.07053899999999999,0.061661999999999995,0.059678999999999996,0.07114000000000001,0.062236,0.009725,0.0,-0.009226999999999999,-0.008433999999999999,-0.008766999999999999,0.047479,0.017454,0.015304,0.014721,0.047066,0.017315999999999998,0.015175999999999999,0.014573,7.290221e-32,-0.002263,-0.002074,-0.002139,120.4065,119.9725,119.6265,-0.991,-0.99,-0.989,2.48,2.01,3.36,4.25,3.32,0.05,0.011892,28.0,1.99
1-01-36pm,50.068,245.1543,426.2164,246.4205,425.0842,243.9102,422.5986,0.07047099999999999,0.061764,0.059588999999999996,0.071065,0.062344,0.009739,0.0,-0.009169,-0.008485,-0.008752,0.047473999999999995,0.017422,0.015363,0.014690000000000002,0.047062,0.017286,0.015233,0.014542,-0.006473,-0.002248,-0.0020900000000000003,-0.002134,120.4449,120.0,119.5605,-0.991,-0.99,-0.989,2.5,2.03,3.37,4.26,3.35,0.05,0.011892,28.0,2.03
1-01-43pm,50.07,245.3099,426.2124,246.453,425.1881,244.0806,422.797,0.07052,0.061721,0.059649,0.071117,0.062300999999999995,0.009760000000000001,0.0,-0.009193999999999999,-0.008483,-0.008765,0.047501999999999996,0.017438,0.015347999999999999,0.014714999999999999,0.047088,0.017301999999999998,0.015217999999999999,0.014567,-0.006483999999999999,-0.002254,-0.0020900000000000003,-0.002139,120.4395,120.0055,119.5605,-0.991,-0.99,-0.989,2.43,1.9500000000000002,3.38,4.3,3.33,0.05,0.011892,28.0,1.98
1-01-50pm,50.076,245.3697,425.5548,246.2596,426.1234,244.9286,424.0757,0.070523,0.061708,0.059753999999999995,0.071126,0.062285999999999994,0.009876,0.0,-0.00924,-0.008466,-0.008773999999999999,0.047624,0.017463,0.015347999999999999,0.014813,0.047166,0.017314,0.015208,0.014643,-0.006510999999999999,-0.002267,-0.002085,-0.002153,120.0934,120.1154,119.7967,-0.991,-0.99,-0.989,2.41,1.96,3.38,4.16,3.35,0.05,0.011892,28.0,2.0
1-01-59pm,50.082,245.2135,425.9924,246.509,425.349,244.1378,423.2086,0.070473,0.061770000000000005,0.059659,0.07106599999999999,0.062347,0.009720999999999999,0.0,-0.009157,-0.008465,-0.008758,0.047514999999999995,0.017426,0.015368999999999999,0.014721,0.047104,0.01729,0.015240000000000002,0.014573,7.289990000000001e-32,-0.002245,-0.0020859999999999997,-0.0021379999999999997,120.2802,119.9945,119.7308,-0.991,-0.99,-0.989,2.41,1.99,3.4,4.28,3.42,0.05,0.011892,28.0,2.01
1-02-05pm,50.079,245.5883,427.6778,246.7138,424.0624,243.1385,422.0843,0.07056799999999999,0.061804,0.059514,0.07116299999999999,0.062382999999999994,0.009540000000000002,0.0,-0.009184999999999999,-0.008480999999999999,-0.008742,0.047492,0.017476,0.015390000000000001,0.014624999999999999,0.047077,0.017339,0.015260000000000001,0.014476999999999999,-0.006474,-0.002255,-0.002092,-0.0021249999999999997,120.835,119.7143,119.4562,-0.991,-0.99,-0.989,2.38,1.9,3.47,4.23,3.2800000000000002,0.05,0.011892,28.0,1.9300000000000002
1-02-10pm,50.071,245.5129,427.4687,246.8556,424.7451,243.5707,422.4741,0.070586,0.061799,0.059546999999999996,0.071185,0.062380000000000005,0.009675,0.0,-0.009214,-0.008494,-0.008712,0.047533,0.017476,0.015397999999999998,0.014658,0.047119,0.017339,0.015267999999999999,0.014511,-0.006481,-0.0022619999999999997,-0.0020959999999999998,-0.0021219999999999998,120.7086,119.8022,119.4946,-0.991,-0.99,-0.989,2.47,1.97,3.31,4.29,3.2800000000000002,0.05,0.011892,28.0,1.98
1-02-16pm,50.075,245.5644,427.7903,246.9366,424.5775,243.516,422.4546,0.070617,0.061826,0.059560999999999996,0.07120499999999999,0.062395,0.009589,0.0,-0.00922,-0.008522,-0.008749,0.047577,0.017498,0.015413,0.014665999999999998,0.047161999999999996,0.017360999999999998,0.015281999999999999,0.014518,7.293006e-32,-0.002265,-0.002104,-0.002131,120.7691,119.7034,119.5331,-0.991,-0.99,-0.989,2.5300000000000002,2.04,3.34,4.3,3.42,0.05,0.011892,28.0,2.01
